"","pValue","Adjusted","logFC"
"pou2f1b",0.229183340152376,1,1.21636644552009
"tfdp1a",0.0036838999824782,1,2.15190416870192
"gabpa",0.017913042227842,1,0.719034423902842
"znf142",0.715543641322401,1,0.670910322038326
"znf148",0.701920891995597,1,0.728599239516745
"stat1b",0.966420877269139,1,0.999513931934611
"sox21b",0.607943116080252,1,0.781067884121526
"ets2",4.94259078109849e-11,3.6080912702019e-08,1.0197344722677
"hic2",0.973666556261297,1,1.11497191149516
"nfil3",0.256058216168875,1,0.711140481860418
"sub1a",0,0,1.21109524475361
"smad2",0.0456836067120853,1,0.639236211761534
"PAXBP1",0.73674595235416,1,0.42569450785591
"bach1b",0.893636122921949,1,0.580324409608154
"bbx",0.998403337537303,1,0.204405019815951
"crebzf",0.130840553995977,1,0.348664098885909
"pknox2",0.999999951723982,1,0.0526495062137517
"prkrira",2.08827736951633e-05,0.0152444247974692,0.902233004045865
"si:dkey-250d21.1",1.68414172969644e-05,0.012294234626784,0.805423206803528
"cux1a",0.0931407204986741,1,0.486378781926149
"smad9",0.16661569266282,1,1.17588914282057
"hmgb1a",0,0,0.266670510225917
"tcf7l1a",0.64803273360659,1,0.754784082434739
"sp1",0.99888657220915,1,0.114152337485658
"cnbpb",0,0,0.857737388132688
"mkrn2",0.628481204246637,1,0.229388894784939
"mybl2b",0.0134795968105359,1,5.12136705269088
"znf740a",0.555286586429762,1,3.05990238454482
"gata2a",0.0460165787108986,1,5.38556780692712
"arid3a",0.990054937824928,1,0.135580527608711
"nr2f6b",0.021781885365928,1,0.448177671590132
"si:ch211-253b8.2",0.0621698258001635,1,0.888968957979142
"zgc:173548",0.344308638954536,1,0.32890122907319
"zgpat",0.00203108896179094,1,0.494897412188246
"si:ch211-262i1.5",0.00123513019196064,0.901645040131269,0.536361477770493
"tmf1",0.824001937312326,1,0.330282830773441
"id1",0,0,0.718926312634506
"foxp4",0.454742798752727,1,0.332743952577111
"adnpa",0.14231095666206,1,1.25438464374612
"mbd1b",0.0539013226801586,1,0.732419871117378
"prdm2b",0.77000271255666,1,0.763281851728883
"foxj3",0.969811554997193,1,0.39564191469893
"bhlhe40",0.000369598438808016,0.269806860329852,1.36838788767849
"nfya",0.332815625490621,1,3.76934665673496
"sox13",0.500089777161244,1,0.433062777554725
"si:ch211-117k10.3",0.931016530631737,1,0.401049512733081
"her15.1",3.56408104140726e-08,2.6017791602273e-05,0.527847180539195
"her15.1.1",0.00209954054421502,1,0.387998202753558
"foxk2",0.48359033735213,1,0.511803701799075
"dlx3b",2.34631867408464e-05,0.0171281263208178,0.770206016902938
"dlx4b",0.000264561388209628,0.193129813393028,0.725293399710964
"tfam",2.75478795330741e-09,2.01099520591441e-06,1.2718984166712
"arid5b",0.144948925355871,1,2.65674558861692
"egr2b",0.502393839498794,1,11.6252323237401
"prdm9",0.272404230566306,1,0.851500288416257
"raraa",0.990181873683302,1,0.244208761137791
"irf9",0.00284155854463741,1,0.528335908554665
"csdc2a",5.96020848429024e-05,0.0435095219353188,2.84479687545095
"tefa",5.9995402312385e-05,0.043796643688041,0.479346469068768
"maff",0.436889426116073,1,0.181508067069919
"ubald1a",0.718976043538247,1,0.515287310922092
"foxj1b",1.26037957848268e-10,9.2007709229236e-08,3.20580744484012
"zbtb4",0.994735044173146,1,0.706491522566093
"foxn2b",0.996854372268077,1,0.26558304761428
"mta3",0.0440149355519192,1,0.329939107385146
"six2b",0.0199379564498283,1,0.248921400533819
"hoxb1b",0.963904424566186,1,0.472226902095714
"etv4",1.56520474825506e-06,0.00114259946622619,0.992674515728843
"nfe2l1b",0.693342959320347,1,0.522946580785417
"znf646",0.435629301137675,1,0.326661600810948
"tcf7l2",0.705942453748251,1,0.688353491067153
"si:ch73-127m5.2",0.336900932330097,1,0.608957991375904
"ebf3a",0.779827727215496,1,0.219291341285146
"meis1b",0.185576575035534,1,0.540763046316605
"epas1b",0.00903617459074257,1,0.703504281963696
"six2a",0.0320916627224173,1,0.326007982770262
"zbtb18",1.32087674131753e-11,9.642400211618e-09,1.89610845396663
